Student First Name,Student Last Name,Student ID,Student DOB,Gender,Race/Ethnicity,IDEA Indicator,Limited English Proficiency Status,Section 504 Status,Economic Disadvantage Status,English Language Proficiency Level,Language Code,Migrant Status,First Entry Date Into US School,LEP Entry Date,LEP Exit Date,Primary Disability Type,Enrolled Grade,Enrolled School,Enrolled School ID,Enrolled District,Enrolled District ID,ELA/Literacy OppNumber,ELA/Literacy Scale Score,Standard Error for ELA/Literacy Scale Score,ELA/Literacy Achievement Level,Reading Claim Achievement Category,Writing Claim Achievement Category,Listening Claim Achievement Category,Research/Inquiry Claim Achievement Category,Mathematics OppNumber,Mathematics Scale Score,Standard Error for Mathematics Scale Score,Mathematics Achievement Level,Concepts and Procedures Claim Achievement Category,Problem Solving and Modeling & Data Analysis Claim Achievement Category,Communicating Reasoning Claim Achievement Category
Jessica,Faught,99000206,09/23/2010,F,White,,,N,,,JPN,N,8/8/11,8/8/11,5/5/15,,4,J. X. Wilson Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2635,28,4,Above Standard,Above Standard,Above Standard,Above Standard,1,2509,17,3,Near Standard,Near Standard,Above Standard
Anthony,Files,99000208,06/10/2010,F,White,,,N,,,ENG,N,,,,,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2523,25,3,Near Standard,Above Standard,Near Standard,Near Standard,1,2437,18,2,Near Standard,Below Standard,Below Standard
Anthony,Fiscer,99000210,12/23/2006,F,Hispanic,,Y,N,,,SPA,N,8/17/11,8/17/11,,,4,Wright Charter,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2344,28,1,Below Standard,Below Standard,Below Standard,Below Standard,1,2336,25,1,Below Standard,Below Standard,Below Standard
Dontrell,Fiscer,99000211,09/27/2008,F,Hispanic,,Y,N,Y,,SPA,N,8/17/11,8/17/11,,,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2405,25,1,Below Standard,Near Standard,Near Standard,Below Standard,1,2391,21,1,Below Standard,Below Standard,Below Standard
Noemi,Fiscus,99000212,08/30/2004,F,Hispanic,Y,Y,N,,,SPA,N,8/17/11,8/17/11,,HI,4,J. X. Wilson Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2507,25,3,Near Standard,Near Standard,Near Standard,Above Standard,1,2469,17,2,Near Standard,Near Standard,Near Standard
Tawni,Fitch,99000213,05/22/2010,F,Hispanic,,,N,,,ENG,N,,,,,4,J. X. Wilson Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2450,25,2,Near Standard,Near Standard,Near Standard,Near Standard,1,2478,17,2,Near Standard,Below Standard,Near Standard
Alyssa,Fletcher,99000214,07/28/2008,F,White,,,N,,,ENG,N,,,,,4,Wright Charter,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2520,25,3,Near Standard,Near Standard,Near Standard,Above Standard,1,2510,17,3,Near Standard,Above Standard,Above Standard
Brandy,Flores,99000215,03/21/2004,F,Asian (non-Filipino),,Y,N,,,VIE,N,8/17/11,8/17/11,,,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2505,25,3,Near Standard,Above Standard,Near Standard,Near Standard,1,2497,17,3,Above Standard,Near Standard,Near Standard
Travis,Flores,99000217,03/22/2006,F,White,,,N,,,ENG,N,,,,,4,Wright Charter,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2503,24,3,Near Standard,Near Standard,Near Standard,Above Standard,1,2453,18,2,Near Standard,Near Standard,Below Standard
Anthony,Floyd,99000218,05/26/2005,F,Hispanic,,Y,Y,Y,,SPA,N,8/20/11,8/20/11,,,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2480,24,3,Near Standard,Near Standard,Near Standard,Near Standard,1,2445,18,2,Near Standard,Below Standard,Below Standard
Brittany,Floyd,99000219,02/10/2005,F,Hispanic,Y,,N,,,ENG,N,8/17/11,,,SLD,4,Wright Charter,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2297,32,1,Below Standard,Below Standard,Below Standard,Below Standard,1,2369,22,1,Below Standard,Below Standard,Below Standard
Stephanie,Floyd,99000220,02/10/2005,F,White,,,N,,,ENG,N,,,,,4,J. X. Wilson Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2552,25,4,Near Standard,Above Standard,Near Standard,Above Standard,1,2472,17,2,Near Standard,Near Standard,Near Standard
Jacquelene,Foley,99000221,11/04/2010,F,White,,,N,,,ENG,N,,,,,4,J. X. Wilson Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2448,25,2,Near Standard,Near Standard,Near Standard,Below Standard,1,2453,18,2,Near Standard,Near Standard,Near Standard
Kevin,Ford,99000222,07/14/2006,F,Hispanic,,Y,N,,,SPA,N,8/17/11,8/17/11,,,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2477,24,3,Above Standard,Near Standard,Near Standard,Below Standard,1,2532,17,3,Near Standard,Above Standard,Near Standard
Brisa,Franco,99000224,05/04/2009,F,Multi-Racial,,,N,,,ENG,N,8/20/10,,,,4,Wright Charter,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2449,25,2,Near Standard,Near Standard,Near Standard,Near Standard,1,2504,17,3,Near Standard,Near Standard,Near Standard
Jackeline,Franco,99000225,07/07/2006,F,Hispanic,,Y,N,Y,,SPA,N,8/17/11,8/17/11,,,4,Wright Charter,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2370,27,1,Below Standard,Below Standard,Near Standard,Below Standard,1,2403,20,1,Below Standard,Below Standard,Near Standard
Julio,Franco,99000226,11/01/2008,F,White,,,N,,,ENG,N,,,,,4,Wright Charter,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2411,25,1,Near Standard,Below Standard,Near Standard,Near Standard,1,2410,20,1,Below Standard,Below Standard,Below Standard
Danny,Frimel,99000227,08/06/2010,F,Hispanic,,Y,N,,,SPA,N,8/8/11,8/8/11,,,4,J. X. Wilson Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2433,25,2,Below Standard,Near Standard,Near Standard,Near Standard,1,2444,18,2,Below Standard,Below Standard,Near Standard
Jeno,Fry,99000228,02/08/2004,F,Hispanic,,,N,,,SPA,N,8/17/11,8/17/11,5/4/15,,4,Wright Charter,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2571,25,4,Above Standard,Near Standard,Near Standard,Above Standard,1,2516,17,3,Near Standard,Above Standard,Near Standard
Elizabeth,Fuentes,99000229,07/07/2008,F,Hispanic,,,N,,,ENG,N,,,,,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2528,25,3,Above Standard,Near Standard,Above Standard,Near Standard,1,2448,18,2,Near Standard,Near Standard,Near Standard
Armando,Garcia,99000230,12/17/2010,F,Hispanic,,,N,,,SPA,N,8/8/12,8/8/12,5/5/15,,4,J. X. Wilson Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2565,25,4,Above Standard,Near Standard,Above Standard,Above Standard,1,2472,17,2,Near Standard,Near Standard,Near Standard
Darren,Garcia,99000231,02/15/2006,F,Hispanic,Y,Y,Y,Y,,SPA,N,8/17/11,8/17/11,,SLD,4,Wright Charter,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2343,28,1,Below Standard,Below Standard,Near Standard,Below Standard,1,2281,33,1,Below Standard,Below Standard,Below Standard
Donald,Garcia,99000232,12/20/2006,F,Hispanic,,Y,N,Y,,SPA,N,8/17/11,8/17/11,,,4,Wright Charter,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2419,25,2,Below Standard,Near Standard,Near Standard,Near Standard,1,2363,23,1,Below Standard,Below Standard,Below Standard
Jose,Garcia,99000233,10/02/2004,F,Asian (non-Filipino),,Y,N,,,LAO,N,8/17/11,8/17/11,,,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2453,25,2,Near Standard,Near Standard,Near Standard,Below Standard,1,2436,19,2,Near Standard,Below Standard,Near Standard
Samantha,Garcia,99000234,03/04/2008,F,Hispanic,,,N,,,ENG,N,,,,,4,J. X. Wilson Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2393,26,1,Near Standard,Below Standard,Below Standard,Below Standard,1,2426,19,2,Near Standard,Below Standard,Below Standard
Michael,Garkanian,99000235,09/27/2011,F,Hispanic,,,N,,,SPA,N,8/17/11,8/17/11,5/9/16,,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2541,25,4,Near Standard,Above Standard,Near Standard,Near Standard,1,2549,17,4,Above Standard,Above Standard,Near Standard
Treston,Garkanian,99000236,10/25/2008,F,Hispanic,,Y,N,,,SPA,N,8/8/11,8/8/11,,,4,J. X. Wilson Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2496,24,3,Near Standard,Near Standard,Near Standard,Above Standard,1,2513,17,3,Near Standard,Near Standard,Above Standard
Alexander,Garner,99000237,04/18/2011,F,Hispanic,,,N,,,SPA,N,8/8/11,8/8/11,5/5/15,,4,J. X. Wilson Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2566,25,4,Above Standard,Above Standard,Above Standard,Near Standard,1,2556,17,4,Above Standard,Above Standard,Near Standard
Juan,Gaton,99000238,08/22/2011,F,Hispanic,,Y,N,Y,,SPA,N,8/16/11,8/16/11,,,4,Wright Charter,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2441,25,2,Near Standard,Below Standard,Near Standard,Near Standard,1,2445,18,2,Near Standard,Near Standard,Below Standard
Justin,Gibbs,99000240,07/07/2010,F,Hispanic,,,N,,,SPA,N,8/17/11,8/17/11,5/9/16,,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2511,25,3,Above Standard,Near Standard,Near Standard,Near Standard,1,2469,17,3,Near Standard,Above Standard,Near Standard
Rachel,Giron,99000243,02/25/2009,F,Hispanic,,,N,,,SPA,N,8/8/11,8/3/11,5/5/15,,4,J. X. Wilson Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2594,26,4,Above Standard,Above Standard,Above Standard,Near Standard,1,2496,17,2,Near Standard,Near Standard,Near Standard
Saul,Goff,99000246,09/08/2004,F,Hispanic,,,N,,,SPA,N,8/17/11,8/17/11,5/9/16,,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2638,28,4,Above Standard,Above Standard,Above Standard,Above Standard,1,2548,17,2,Near Standard,Near Standard,Near Standard
Vennessa,Gongob,99000247,02/04/2011,F,Hispanic,,,N,Y,,ENG,N,,,,,4,J. X. Wilson Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2579,26,1,Below Standard,Near Standard,Near Standard,Below Standard,1,2523,17,3,Near Standard,Near Standard,Above Standard
Art,Gonzalez,99000248,12/05/2007,F,Hispanic,,Y,N,,,SPA,N,8/8/11,8/8/11,,,4,J. X. Wilson Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2475,24,3,Near Standard,Near Standard,Near Standard,Above Standard,1,2458,18,2,Near Standard,Near Standard,Near Standard
Fernando,Gonzalez,99000249,08/12/2010,F,White,,,N,,,ENG,N,8/17/11,,,,4,Wright Charter,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2492,24,2,Near Standard,Near Standard,Near Standard,Near Standard,1,2404,20,1,Below Standard,Near Standard,Below Standard
Ryan,Gonzalez,99000250,10/13/2009,F,Asian (non-Filipino),,,N,,,VIE,N,8/8/11,8/8/11,5/18/15,,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2565,25,3,Near Standard,Near Standard,Near Standard,Above Standard,1,2540,17,3,Above Standard,Above Standard,Near Standard
Tina,Goodman,99000251,11/09/2007,F,African American,,,N,,,ENG,N,,,,,4,J. X. Wilson Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2417,25,3,Near Standard,Above Standard,Near Standard,Near Standard,1,2439,18,2,Below Standard,Below Standard,Near Standard
Robert,Goodwin,99000252,10/01/2006,F,Hispanic,,Y,N,,,SPA,N,8/8/11,8/8/11,,,4,J. X. Wilson Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2464,25,3,Near Standard,Near Standard,Near Standard,Above Standard,1,2404,20,1,Below Standard,Near Standard,Below Standard
Leslie,Goree,99000253,08/07/2010,F,Hispanic,,,N,Y,,SPA,N,8/8/11,8/8/11,5/10/16,,4,J. X. Wilson Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2541,25,3,Near Standard,Near Standard,Near Standard,Near Standard,1,2525,17,3,Above Standard,Near Standard,Above Standard
Autumn,Gould,99000254,04/10/2006,F,Hispanic,,Y,N,,,SPA,N,8/8/11,8/8/11,,,4,J. X. Wilson Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2530,25,1,Below Standard,Below Standard,Below Standard,Below Standard,1,2478,17,2,Near Standard,Near Standard,Near Standard
Teresa,Graham,99000255,04/10/2009,F,Hispanic,,,N,Y,,ENG,N,8/16/11,,,,4,J. X. Wilson Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2451,25,4,Near Standard,Above Standard,Near Standard,Above Standard,1,2445,18,2,Near Standard,Below Standard,Near Standard
Jared,Grajeda,99000256,03/25/2006,F,Hispanic,,,N,Y,,SPA,N,8/8/11,8/3/11,5/5/15,,4,J. X. Wilson Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2556,25,2,Near Standard,Near Standard,Near Standard,Below Standard,1,2464,18,3,Near Standard,Above Standard,Near Standard
Amber,Gray,99000257,04/12/2009,F,Hispanic,,Y,N,,,SPA,N,8/21/10,8/21/10,,,4,J. X. Wilson Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2427,25,3,Above Standard,Near Standard,Near Standard,Below Standard,1,2441,18,2,Below Standard,Near Standard,Below Standard
Carissa,Gray,99000258,09/14/2006,F,Hispanic,,,N,,,ENG,N,,,,,4,J. X. Wilson Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2556,25,2,Near Standard,Near Standard,Near Standard,Near Standard,1,2539,17,3,Above Standard,Near Standard,Near Standard
Devante,Greene,99000259,05/20/2010,F,Hispanic,,,N,Y,,ENG,N,,,,,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2562,25,1,Below Standard,Below Standard,Near Standard,Below Standard,1,2514,17,3,Above Standard,Near Standard,Near Standard
Jennifer,Greene,99000260,12/10/2007,F,Hispanic,,,N,Y,,ENG,N,,,,,4,Wright Charter,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2472,25,2,Near Standard,Near Standard,Below Standard,Above Standard,1,2375,22,1,Below Standard,Below Standard,Below Standard
Anglica,Grijalva,99000261,12/21/2010,F,Asian (non-Filipino),,,N,,,ENG,N,,,,,4,Wright Charter,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2475,24,3,Near Standard,Near Standard,Near Standard,Above Standard,1,2489,17,3,Near Standard,Near Standard,Near Standard
Tiffany,Groves,99000262,03/06/2008,F,Hispanic,,,N,,,ENG,N,,,,,4,J. X. Wilson Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2445,25,2,Near Standard,Near Standard,Near Standard,Near Standard,1,2457,18,2,Below Standard,Near Standard,Near Standard
Felicia,Guerrero,99000263,04/10/2005,F,Multi-Racial,,,N,Y,,ENG,N,,,,,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2587,26,4,Above Standard,Above Standard,Near Standard,Above Standard,1,2565,17,4,Above Standard,Above Standard,Above Standard
Katherine,Guerrero,99000264,09/06/2010,F,Hispanic,,Y,N,,,SPA,N,8/15/12,8/15/12,,,4,Wright Charter,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2455,25,2,Below Standard,Near Standard,Above Standard,Near Standard,1,2501,17,3,Near Standard,Above Standard,Near Standard
Carrie-Allen,Guidry,99000265,05/26/2010,F,Hispanic,,,N,Y,,ENG,N,8/16/11,,,,4,J. X. Wilson Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2409,25,1,Below Standard,Near Standard,Below Standard,Near Standard,1,2417,19,2,Below Standard,Near Standard,Below Standard
Monise,Guidry,99000266,11/23/2004,M,Hispanic,,Y,N,,,SPA,N,8/17/11,8/17/11,,,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2533,25,4,Above Standard,Above Standard,Near Standard,Near Standard,1,2490,17,3,Near Standard,Near Standard,Near Standard
Brandy,Hagen,99000267,04/16/2005,M,Hispanic,,,N,,,SPA,N,4/1/13,4/1/13,5/7/15,,4,Wright Charter,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2508,25,3,Near Standard,Near Standard,Near Standard,Near Standard,1,2468,17,2,Near Standard,Near Standard,Below Standard
Jeffery,Hagen,99000268,07/05/2009,F,Asian (non-Filipino),,Y,N,,,VIE,N,8/22/11,8/19/15,,,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2467,25,2,Near Standard,Near Standard,Below Standard,Near Standard,1,2505,17,3,Near Standard,Near Standard,Near Standard
Erin,Hall,99000269,08/22/2010,M,Hispanic,,Y,N,Y,,SPA,N,8/17/10,8/17/10,,,4,Robert L. Stevens Elementary,4.97104E+13,Wright Elementary School District,4.97104E+13,1,2510,25,3,Near Standard,Near Standard,Above Standard,Near Standard,1,2428,19,2,Near Standard,Below Standard,Below Standard
